UserID1	Experiment1	SessionNum1	Trial1	Date1	Question1	Answer1	Response1	RT1	LenScore1	LenAcc1	StrictAcc1	Info1	trialtype1	Feedback1	DurationControl1	Group1	rep#	RI cond1	block1	UserID2	Experiment2	SessionNum2	Trial2	Date2	Question2	Answer2	Response2	RT2	LenScore2	LenAcc2	StrictAcc2	Info2	trialtype2	Feedback2	DurationControl2	Group2	rep#	RI cond2	block2	UserID3	Experiment3	SessionNum3	Trial3	Date3	Question3	Answer3	Response3	RT3	LenScore3	LenAcc3	StrictAcc3	Info3	trialtype3	Feedback3	DurationControl3	Group3	rep#	RI cond3	block3	Interval	Left Final Test Blank
AZMOA8ONG0D2U	temp1	1	51	8/8/17 7:03	valley	alcohol	alcohol	4.805	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	G	3a	AZMOA8ONG0D2U	temp1	1	57	8/8/17 7:04	valley	alcohol	alcohol	4.212	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	G	3a	AZMOA8ONG0D2U	temp1	1	79	8/8/17 7:05	valley	alcohol	alcohol	3.013	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	G	3a	21	0
AZMOA8ONG0D2U	temp1	1	10	8/8/17 6:59	trumpet	house	house	2.823	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	G	1b	AZMOA8ONG0D2U	temp1	1	14	8/8/17 7:00	trumpet	house	house	2.69	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	G	1b	AZMOA8ONG0D2U	temp1	1	36	8/8/17 7:02	trumpet	house	houswe	5.037	90.90909091	1	0	bl	test	NoFeedback	UserTiming 	bl	3	G	1b	21	0
AZMOA8ONG0D2U	temp1	1	42	8/8/17 7:02	jury	butcher	butcher	3.247	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	I	6b	AZMOA8ONG0D2U	temp1	1	46	8/8/17 7:03	jury	butcher	butcher	3.561	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	I	6b	AZMOA8ONG0D2U	temp1	1	106	8/8/17 7:08	jury	butcher	butcher	3.412	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	I	6b	59	0
AZMOA8ONG0D2U	temp1	1	32	8/8/17 7:01	village	prairie	prairie	3.985	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	I	4b	AZMOA8ONG0D2U	temp1	1	35	8/8/17 7:02	village	prairie	prairie	3.341	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	I	4b	AZMOA8ONG0D2U	temp1	1	95	8/8/17 7:07	village	prairie	alcohol	40.242	14.28571429	0	0	bl	test	NoFeedback	UserTiming 	bl	3	I	4b	59	0
AZMOA8ONG0D2U	temp1	1	21	8/8/17 7:01	slipper	timepiece	timepiece	3.849	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	I	3b	AZMOA8ONG0D2U	temp1	1	23	8/8/17 7:01	slipper	timepiece	timepiece	3.286	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	I	3b	AZMOA8ONG0D2U	temp1	1	83	8/8/17 7:06	slipper	timepiece	timepiece	5.571	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	I	3b	59	0
AZMOA8ONG0D2U	temp1	1	20	8/8/17 7:00	bullet	bagpipe	bagpipe	3.488	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	I	2b	AZMOA8ONG0D2U	temp1	1	22	8/8/17 7:01	bullet	bagpipe	bagpipe	3.137	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	I	2b	AZMOA8ONG0D2U	temp1	1	82	8/8/17 7:05	bullet	bagpipe	bagpipe	3.789	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	I	2b	59	0
AZMOA8ONG0D2U	temp1	1	43	8/8/17 7:02	daffodil	corpse	corpse	2.897	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	J	6b	AZMOA8ONG0D2U	temp1	1	47	8/8/17 7:03	daffodil	corpse	corpse	2.748	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	J	6b	AZMOA8ONG0D2U	temp1	1	147	8/8/17 7:11	daffodil	corpse	corpse	2.783	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	J	6b	99	0
AZMOA8ONG0D2U	temp1	1	13	8/8/17 7:00	avalanche	animal	animal	4.887	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	J	2b	AZMOA8ONG0D2U	temp1	1	18	8/8/17 7:00	avalanche	animal	animal	3.142	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	J	2b	AZMOA8ONG0D2U	temp1	1	118	8/8/17 7:09	avalanche	animal	animal	8.128	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	J	2b	99	0
AZMOA8ONG0D2U	temp1	1	9	8/8/17 6:59	locker	ticket	ticket	3.049	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	J	1b	AZMOA8ONG0D2U	temp1	1	12	8/8/17 7:00	locker	ticket	ticket	4.752	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	J	1b	AZMOA8ONG0D2U	temp1	1	112	8/8/17 7:08	locker	ticket		3.091	0	0	0	bl	test	NoFeedback	UserTiming 	bl	3	J	1b	99	1
AYYBMS4XQJ9AP	temp1	1	70	8/8/17 8:39	lemon	monk	monk	5.001	100	1	1	bl	copy	Feedback	UserTiming 	bl	1	A	5a	AYYBMS4XQJ9AP	temp1	1	73	8/8/17 8:40	lemon	monk	monk	5.377	100	1	1	bl	test	NoFeedback	UserTiming 	bl	2	A	5a	AYYBMS4XQJ9AP	temp1	1	74	8/8/17 8:40	lemon	monk	monk	4.884	100	1	1	bl	test	NoFeedback	UserTiming 	bl	3	A	5a	0	0
